"序号
No",网点编码Code CE,网点名称Nom CE,网点类型Type CE,"省份
Province","城市
Ville"
369,60280W,中山市永达汽车贸易有限公司,4S,广东省,中山市
370,63090A,中山市海成汽车贸易有限公司,4S,广东省,中山市
371,65950J,潮州市长威汽车销售服务有限公司,4S,广东省,潮州市
372,64390J,揭阳市粤标汽车销售服务有限公司,4S,广东省,揭阳市
373,61550B,广西弘致汽车销售服务有限公司,4S,广西壮族自治区,南宁市
374,60100A,广西弘狮汽车销售服务有限公司,4S,广西壮族自治区,南宁市
375,65830Y,广西恒久汽车服务有限公司,4S,广西壮族自治区,南宁市
376,65899D,广西吉巨汽车销售服务有限公司,4S,广西壮族自治区,南宁市
377,65921C,柳州市泰航汽车贸易有限公司,4S,广西壮族自治区,柳州市
378,61130V,柳州弘狮汽车销售服务有限公司,4S,广西壮族自治区,柳州市
379,65520P,桂林盛霖汽车销售有限公司,4S,广西壮族自治区,桂林市
380,60870M,桂林弘狮诚致汽车销售服务有限公司,4S,广西壮族自治区,桂林市
381,64860W,梧州市弘标汽车销售服务有限公司,4S,广西壮族自治区,梧州市
382,62220E,北海弘狮汽车销售服务有限公司,4S,广西壮族自治区,北海市
383,65867U,广西昇汇汽车销售服务有限责任公司,4S,广西壮族自治区,防城港市
384,62990S,钦州市白马汽车销售服务有限公司,4S,广西壮族自治区,钦州市
385,65160G,贵港市中麒汽车销售服务有限公司,4S,广西壮族自治区,贵港市
386,63910Y,玉林市瀚鼎铂利汽车销售服务有限公司,4S,广西壮族自治区,玉林市
387,65630B,广西润凯汽车销售服务有限公司,4S,广西壮族自治区,百色市
388,65894Y,贺州市和通汽车销售服务有限公司,4S,广西壮族自治区,贺州市
389,64820H,河池通华汽车贸易服务有限公司,4S,广西壮族自治区,河池市
390,62210U,海南保力汽车销售服务有限公司,4S,海南省,海口市
391,64810S,三亚亚兴汽车销售服务有限公司,4S,海南省,三亚市
392,62120W,重庆百事达华德汽车销售服务有限公司,4S,重庆市,重庆市
393,60710N,重庆东风南方汽车销售服务有限公司渝旺分公司,4S,重庆市,重庆市
394,62360G,重庆同捷汽车销售有限公司,4S,重庆市,重庆市
395,65330U,重庆集大成汽车销售服务有限公司,4S,重庆市,重庆市
396,65913U,重庆江津区骄维汽车销售有限公司,4S,重庆市,重庆市
397,65760R,重庆新明致汽车销售服务有限公司,4S,重庆市,重庆市
398,62670U,成都天致汽车销售服务有限公司,4S,四川省,成都市
399,62640L,成都精典东越汽车销售有限公司,4S,四川省,成都市
400,60200J,四川安捷汽车技术服务有限公司,4S,四川省,成都市
401,60160R,成都集大成汽车销售服务有限公司,4S,四川省,成都市
402,61520U,四川申蓉泓翰汽车销售服务有限公司,4S,四川省,成都市
403,60560A,四川明嘉汽车贸易服务有限公司,4S,四川省,成都市
404,63060J,四川申蓉泓锦汽车销售服务有限公司,4S,四川省,成都市
405,65846W,成都明嘉宝驰汽车销售服务有限公司,4S,四川省,成都市
406,65946E,成都市众邦欣狮汽车销售服务有限责任公司,4S,四川省,成都市
407,64660X,新津弘致汽车销售服务有限公司,4S,四川省,成都市
408,63330A,四川安捷致信汽车销售服务有限公司,4S,四川省,成都市
409,62720Y,彭州市明澈车业有限公司,4S,四川省,成都市
410,64320C,成都中鑫海汽车服务有限公司,4S,四川省,成都市
411,63040A,自贡新业汽车销售有限公司,4S,四川省,自贡市
412,62650X,攀枝花申蓉新源汽车销售服务有限公司,4S,四川省,攀枝花市
413,61910T,泸州市浩翔贸易有限公司,4S,四川省,泸州市
414,61040X,中国第二重型机械集团德阳万路运业有限公司,4S,四川省,德阳市
415,62820G,德阳市明致汽车销售服务有限公司,4S,四川省,德阳市
416,60360H,绵阳新华商贸有限公司,4S,四川省,绵阳市
417,63280M,绵阳三阳佳宇汽车销售服务有限公司,4S,四川省,绵阳市
418,62290F,广元市万高汽车销售服务有限公司,4S,四川省,广元市
419,62320N,遂宁天致汽车销售服务有限公司,4S,四川省,遂宁市
420,65908N,内江嘉盛明致汽车销售有限公司,4S,四川省,内江市
421,62630A,乐山天牛华申汽车销售服务有限公司,4S,四川省,乐山市
422,61900G,南充金鞍车业有限公司,4S,四川省,南充市
423,61880K,眉山泓翰车业有限公司,4S,四川省,眉山市
424,65120Y,宜宾建国汽车销售服务有限公司,4S,四川省,宜宾市
425,63640G,广安东创昌升车业有限公司,4S,四川省,广安市
426,64830D,达州市鸿杉汽车贸易有限公司,4S,四川省,达州市
427,65110Y,雅安极致汽车销售有限公司,4S,四川省,雅安市
428,65927J,巴中龙兴汽车销售服务有限责任公司,4S,四川省,巴中市
429,64180Z,资阳天致汽车销售服务有限公司,4S,四川省,资阳市
430,60220F,贵州乾通东远汽车销售服务有限公司,4S,贵州省,贵阳市
431,62400A,贵州三狮汽车销售服务有限公司,4S,贵州省,贵阳市
432,63620G,贵州瀚羿睿致汽车销售服务有限公司,4S,贵州省,贵阳市
433,63510H,贵州宏宇嘉信汽车贸易有限公司,4S,贵州省,六盘水市
434,61490L,遵义乾坤奥狮汽车有限公司,4S,贵州省,遵义市
435,64330Z,遵义乾坤汽车销售服务有限公司,4S,贵州省,遵义市
436,65380Z,贵州万利源瑞狮汽车销售服务有限公司,4S,贵州省,安顺市
437,65290P,铜仁市东泽合一汽车销售有限公司,4S,贵州省,铜仁地区
438,63630X,兴义市恒信德龙汽车销售服务有限公司,4S,贵州省,黔西南布依族苗族自治州
439,65130B,贵州佰润力昂汽车销售服务有限公司,4S,贵州省,毕节地区
440,63790K,贵州凯里经济开发区众恒汽车销售服务有限公司,4S,贵州省,黔东南苗族侗族自治州
441,64970D,都匀恒信华致汽车销售服务有限公司,4S,贵州省,黔南布依族苗族自治州
442,64150Y,云南欧驰汽车贸易有限公司,4S,云南省,昆明市
443,60700C,云南都市车迷宝狮汽车贸易有限公司,4S,云南省,昆明市
444,65190K,云南东峻天狮汽车销售服务有限公司,4S,云南省,昆明市
445,65953M,云南东峻天致汽车销售服务有限公司,4S,云南省,昆明市
446,63070L,曲靖市标通汽车销售服务有限公司,4S,云南省,曲靖市
447,62690R,玉溪大成汽车销售服务有限公司,4S,云南省,玉溪市
448,65340V,保山黔通汽车销售服务有限公司,4S,云南省,保山市
449,63490Z,昭通市振翔商贸有限公司,4S,云南省,昭通市
450,65878F,普洱鸿达悦致汽车销售服务有限公司,4S,云南省,普洱市
451,63550C,楚雄昊跃汽车销售服务有限公司,4S,云南省,楚雄彝族自治州
452,63480K,云南远致汽车销售服务有限公司,4S,云南省,红河哈尼族彝族自治州
453,65170W,文山联赢汽车经贸有限责任公司,4S,云南省,文山壮族苗族自治州
454,64940X,西双版纳大成汽车销售服务有限公司,4S,云南省,西双版纳傣族自治州
455,64630D,云南德通汽车销售服务有限公司,4S,云南省,大理白族自治州
456,61810J,拉萨市协合汽车贸易有限公司,4S,西藏自治区,拉萨市
457,65400B,西安天一汽车销售服务有限公司,4S,陕西省,西安市
458,60070T,陕西华纳汽车有限公司,4S,陕西省,西安市
459,60190Y,陕西威标汽车销售服务有限公司,4S,陕西省,西安市
460,63740X,陕西益华汽车销售服务有限公司,4S,陕西省,西安市
461,64680S,陕西鹏飞汽车销售服务有限公司,4S,陕西省,西安市
462,65914V,铜川泽泰瑞通汽车销售服务有限公司,4S,陕西省,铜川市
463,61720L,宝鸡佳驰汽车销售服务有限公司,4S,陕西省,宝鸡市
464,64420X,陕西安乘汽车服务有限公司,4S,陕西省,咸阳市
465,62970V,渭南乾丰汽车销售服务有限公司,4S,陕西省,渭南市
466,62910E,延安新易达汽车销售服务有限公司,4S,陕西省,延安市
467,64310H,汉中恒信华致汽车销售服务有限公司,4S,陕西省,汉中市
468,61230D,榆林市杰隆汽车销售服务有限责任公司,4S,陕西省,榆林市
469,64160Y,榆林市恒泰集团汽车销售服务有限公司,4S,陕西省,榆林市
470,64920A,陕西中达兴盛汽车销售服务有限公司,4S,陕西省,安康市
471,65870X,杨凌中天恒沣汽车贸易有限公司,4S,陕西省,咸阳市
472,60440V,甘肃神驰汽车销售有限责任公司,4S,甘肃省,兰州市
473,64930L,甘肃卓力汽车销售服务有限公司,4S,甘肃省,兰州市
474,65885N,嘉峪关宝之汇汽车服务有限公司,4S,甘肃省,嘉峪关市
475,64230G,白银海天东致汽车销售服务有限公司,4S,甘肃省,白银市
476,64670T,天水定汇金源汽车销售有限责任公司,4S,甘肃省,天水市
477,65881J,武威黎庆汽车销售服务有限公司,4S,甘肃省,武威市
478,65700J,张掖市天宜汽车销售服务有限公司,4S,甘肃省,张掖市
479,64840P,甘肃金泰源汽车销售服务有限公司,4S,甘肃省,平凉市
480,63870J,酒泉恒盛汽车贸易有限责任公司,4S,甘肃省,酒泉市
481,65853D,庆阳华岳汽车销售服务有限公司,4S,甘肃省,庆阳市
482,65880H,临夏实达汽车销售有限公司,4S,甘肃省,临夏回族自治州
483,61590V,青海兴达汽车销售有限责任公司,4S,青海省,西宁市
484,64430Q,青海俊华汽车销售服务有限公司,4S,青海省,西宁市
485,60990T,宁夏仁和致利汽车销售服务有限公司,4S,宁夏回族自治区,银川市
486,63080F,宁夏标龙汽车销售服务有限公司,4S,宁夏回族自治区,银川市
487,65800V,固原正通和汽车销售服务有限公司,4S,宁夏回族自治区,固原市
488,65470J,新疆永祥恒兴汽车销售有限公司,4S,新疆维吾尔自治区,乌鲁木齐市
489,65840Z,哈密市盈宝汽车销售服务有限公司,4S,新疆维吾尔自治区,哈密地区
490,65360X,新疆华兴汽车销售服务有限公司,4S,新疆维吾尔自治区,昌吉回族自治州
491,64560K,新疆巴州恒昱汽车销售服务有限公司,4S,新疆维吾尔自治区,巴音郭楞蒙古自治州
492,62000R,阿克苏汇达汽车销售有限公司,4S,新疆维吾尔自治区,阿克苏地区
493,65300R,伊犁迅捷汽车服务有限责任公司,4S,新疆维吾尔自治区,伊犁哈萨克自治州
494,65370Y,奎屯大华华致汽车销售公司,4S,新疆维吾尔自治区,伊犁哈萨克自治州
495,65770S,石河子市金禧汽车销售服务有限公司,4S,新疆维吾尔自治区,石河子市
